Name,url,team
De Gea,/fr/player/193080/de-gea/,Manchester Utd
Kevin De Bruyne,/fr/player/192985/kevin-de-bruyne/,Manchester City
Eden Hazard,/fr/player/183277/eden-hazard/,Chelsea
N'Golo Kanté,/fr/player/215914/ngolo-kant%C3%A9/,Chelsea
Harry Kane,/fr/player/202126/harry-kane/,Tottenham Hotspur
David Silva,/fr/player/168542/david-silva/,Manchester City
Sergio Agüero,/fr/player/153079/sergio-ag%C3%BCero/,Manchester City
Mohamed Salah,/fr/player/209331/mohamed-salah/,Liverpool
Paul Pogba,/fr/player/195864/paul-pogba/,Manchester Utd
Christian Eriksen,/fr/player/190460/christian-eriksen/,Tottenham Hotspur
Hugo Lloris,/fr/player/167948/hugo-lloris/,Tottenham Hotspur
Romelu Lukaku,/fr/player/192505/romelu-lukaku/,Manchester Utd
Pierre-Emerick Aubameyang,/fr/player/188567/pierre-emerick-aubameyang/,Arsenal
Alexis Sánchez,/fr/player/184941/alexis-s%C3%A1nchez/,Manchester Utd
Jan Vertonghen,/fr/player/172871/jan-vertonghen/,Tottenham Hotspur
Leroy Sané,/fr/player/222492/leroy-san%C3%A9/,Manchester City
Ederson,/fr/player/210257/ederson/,Manchester City
Sadio Mané,/fr/player/208722/sadio-man%C3%A9/,Liverpool
Roberto Firmino,/fr/player/201942/roberto-firmino/,Liverpool
Nicolás Otamendi,/fr/player/192366/nicol%C3%A1s-otamendi/,Manchester City
Nemanja Matić,/fr/player/191202/nemanja-mati%C4%87/,Manchester Utd
Azpilicueta,/fr/player/184432/azpilicueta/,Chelsea
Mesut Özil,/fr/player/176635/mesut-%C3%B6zil/,Arsenal
Fernandinho,/fr/player/135507/fernandinho/,Manchester City
Alisson,/fr/player/212831/alisson/,Liverpool
Fabinho,/fr/player/209499/fabinho/,Liverpool
Riyad Mahrez,/fr/player/204485/riyad-mahrez/,Manchester City
Virgil van Dijk,/fr/player/203376/virgil-van-dijk/,Liverpool
Raheem Sterling,/fr/player/202652/raheem-sterling/,Manchester City
Toby Alderweireld,/fr/player/184087/toby-alderweireld/,Tottenham Hotspur
Vincent Kompany,/fr/player/139720/vincent-kompany/,Manchester City
