Name,url,team
Neymar,/fr/player/190871/neymar/,Paris
Edinson Cavani,/fr/player/179813/edinson-cavani/,Paris
Thiago Silva,/fr/player/164240/thiago-silva/,Paris
Gianluigi Buffon,/fr/player/1179/gianluigi-buffon/,Paris
Kylian Mbappé,/fr/player/231747/kylian-mbapp%C3%A9/,Paris
Marco Verratti,/fr/player/199556/marco-verratti/,Paris
Nabil Fekir,/fr/player/216594/nabil-fekir/,OL
Falcao,/fr/player/167397/falcao/,AS Monaco
Marquinhos,/fr/player/207865/marquinhos/,Paris
Florian Thauvin,/fr/player/204970/florian-thauvin/,OM
Anthony Lopes,/fr/player/199482/anthony-lopes/,OL
Ángel Di María,/fr/player/183898/%C3%A1ngel-di-mar%C3%ADa/,Paris
Dimitri Payet,/fr/player/177388/dimitri-payet/,OM
Stéphane Ruffier,/fr/player/167628/st%C3%A9phane-ruffier/,ASSE
Presnel Kimpembe,/fr/player/225850/presnel-kimpembe/,Paris
Adrien Rabiot,/fr/player/210008/adrien-rabiot/,Paris
Memphis Depay,/fr/player/202556/memphis-depay/,OL
Julian Draxler,/fr/player/202166/julian-draxler/,Paris
Danijel Subašić,/fr/player/192593/danijel-suba%C5%A1i%C4%87/,AS Monaco
Kamil Glik,/fr/player/190547/kamil-glik/,AS Monaco
Kevin Strootman,/fr/player/189712/kevin-strootman/,OM
Mario Balotelli,/fr/player/186627/mario-balotelli/,OGC Nice
Luiz Gustavo,/fr/player/185221/luiz-gustavo/,OM
Steve Mandanda,/fr/player/163705/steve-mandanda/,OM
Thomas Meunier,/fr/player/202371/thomas-meunier/,Paris
Adil Rami,/fr/player/183280/adil-rami/,OM
Dani Alves,/fr/player/146530/dani-alves/,Paris
Benjamin Lecomte,/fr/player/200726/benjamin-lecomte/,Montpellier HSC
Alphonse Areola,/fr/player/193105/alphonse-areola/,Paris
Marcelo,/fr/player/180334/marcelo/,OL
Rony Lopes,/fr/player/212692/rony-lopes/,AS Monaco
Morgan Sanson,/fr/player/210896/morgan-sanson/,OM
Djibril Sidibé,/fr/player/201042/djibril-sidib%C3%A9/,AS Monaco
Stevan Jovetić,/fr/player/181820/stevan-joveti%C4%87/,AS Monaco
